id,english,tigrina,usewith,registeredby
1152,Shampooers,ሻምፖዊን,,gide
1153,Sheet Metal Workers,ሰራሕተኛ ሓጺናዊ ነጸላ,,gide
1154,Shipping, Receiving, and Traffic Clerks,ምልኣኽን ምቕባል ማካይንን መራሕቲ ማካይንን,,gide
1155,Shoe and Leather Workers and Repairers,ሳእኒን ሰራሕተኛታት ቈርበትን ጽገናታት,,gide
1156,Shoe Machine Operators and Tenders,ኦፕሬተራትን ጅማውትን ጫማ,,gide
1157,Signal and Track Switch Repairers,ሲግናልን ከምኡ ውን ትራክን ጽገና,,gide
1158,Singers,ደረፍቲ,,gide
1159,Ski Patrol and Other Recreational Protective Service Workers,ተኸላኸልትን ካልእ መዘናግዒ ሰራሕተኛታትን,,gide
1160,Skincare Specialists,ክኢላታት ስኪንካረ,,gide
1161,Slaughterers,መሕረዲ,,gide
1162,Small Engine Mechanics,ናኣሽቱ ሞተረ መካኒክ,,gide
1163,Social Science Research Assistants,ንማሕበራዊ ስነ-ፍልጠት ምርምር ዝሕግዝዎ,,gide
1164,Social Scientists and Related Workers (all other),ማሕበራዊ ስነ-ፍልጠተኛታትን ተዛመድቲ ሰራሕተኛታትን),,gide
1165,Social Service Assistants,ንማሕበራዊ ኣገልግሎት ሓገዝቲ,,gide
1166,Social Service Managers,ኣካየድቲ ማሕበራዊ ኣገልግሎት,,gide
1167,Social Workers,ማሕበራዊ ሰራሕተኛታት,,gide
1168,Sociologists,ተመራመርቲ ስነ-ሕብረተሰብ,,gide
1169,Software Developers,ኣማዕበልቲ ሶፍትዌር,,gide
1170,Solar Photovoltaic Installers,ጸሓያዊ ብርሃን ፎቶቮልታይክ,,gide
1171,Solderers,ኣልሓምቲ,,gide
1172,Sound Engineering Technicians,ክኢላታት ናይ ድምጺ ተክኒሻን,,gide
1173,Special Education Teachers,መምህራን ን ፍሉይ ትምህርቲ,,gide
1174,Special Education Teachers,ፍሉይ ትምህርቲ ዘምህሩ መምህራን,,gide
1175,Speech-Language Pathologists,ኣገባብ ኣዘራርባ,,gide
1176,Stationary Engineers,ናይ መደበር ኢንጂነራት,,gide
1177,Statistical Assistants,ብስታስቲካዊ ሓገዝ,,gide
1178,Statisticians,ስታስቲከኛ,,gide
1179,Steamfitters,ኣጋጣጠምቲ ስቲም,,gide
1180,Steel Workers,ሰራሕተኛ ሓጺን,,gide
1181,Stonemasons,ነዳቓይ እምኒ,,gide
1182,Substance Abuse Counselors,ኣማኻሪ ናይ ብ ወልፊ ሽግር ዘለዎም ሰባት,,gide
1183,Subway and Streetcar Operators,ድሕተ መሬትን ኣብ ጎደናን ዝጎዓዛ ተሽከርከርቲ ኦፐሬቶር,,gide
1184,Surgeons,ክኢላታት መጥባሕቲ,,gide
1185,Surgical Technologists,ክኢላታት ሕክምና መጥባሕቲ,,gide
1186,Survey Researchers,ተመራመርቲ,,gide
1187,Surveying Technicians,ቅየሳ ተክኒሻን,,gide
1188,Surveyors,ቀየስቲ,,gide
1189,Switchboard Operators (Including Answering Service),ኦፕሬተራት ስዊችን ቦርድ (Switchboard Operators (Including Answering Service)),,gide
1190,Systems Analysts,ተንተንቲ ስርዓት,,gide
1191,Tailors, Dressmakers, and Custom Sewers,ሰፈይቲ ክዳን,,gide
1192,Tank Car, Truck, and Ship Loaders,ጸዓንቲ ታንክ፣ ዓበይቲ ማኪና፣መርከብን,,gide
1193,Tapers,ለጣፊ ወይ ኣግጣሚ,,gide
1194,Tax Examiners and Collectors, and Revenue Agents,ናይ ቀረጽ ተመረማርን ኣካብን ከምኡ ውን ናይ ውጺኢት ወኪልን,,gide
1195,Tax Preparers,ኣዳለውቲ ግብሪ,,gide
1196,Taxi Drivers,ታክሲስታ ወይ ዘዋሪ ታክሲ,,gide
1197,Teacher Assistants,ተሓጋገዝቲ መምህራን,,gide
1198,Teachers,መምሃራን,,gide
1199,Technical Writers,ተክኒካዊ ጸሓፍቲ,,gide
1200,Telecommunications Equipment Installers and Repairers (Except Line Installers),ናይ ቴለኮሚኒኬሽን ኣቕሑት መጸገኒታትን (Telecommunications Equipment Installers and Repairers (Except Line Installers)),,gide
1201,Telemarketers,ኣሰናዳእን ኣማዓራራዪን ተለፎን,,gide
1202,Telephone Operators,ኦፕሬተራት ቴሌፎን,,gide
1203,Television, Video, and Motion Picture Camera Operators and Editors,ተለቪጅን፣ቪድዮ፣ተንቀሳቃሲ ስእሊ ካመራ ኦፐሬቶርን ኣወሃሃድን,,gide
1204,Tellers,ሓበርቲ መስርሓት ናይ ምእታውን ምውጻእን ናይ ዓሚል ኣካውንት,,gide
1205,Terrazzo Workers,ናይ ገጽ ጽፈትን ወዳእትን ን መንደቅ፣ቤትሮ ወዘተ,,gide
1206,Textile Bleaching and Dyeing Machine Operators and Tenders,ኣብ ጨርቃ መርቂ ምጽሓፍን ናይ ሕብሪ ማሽን ኦፕሬተራትን ጅማውትን,,gide
1207,Textile Careers,ኣለይቲ ዓለባ,,gide
1208,Textile Cutting Machine Setters, Operators, and Tenders,ናይ ዓለባ ማሽን ፡ ኦፐረይተርን ጅማውትን,,gide
1209,Textile Knitting and Weaving Machine Setters, Operators, and Tenders,ጨርቃ ጨርቂ ተንበርኪኽካ ማሽን ምዕጣቕ ፡ ኦፕሬተራትን ጅማውትን,,gide
1210,Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders,ጨርቃ ጨርቂ ብምንቅስቓስ ፡ ብምጥዋይ ፡ ማሽን ኦፕሬተራትን ጅማውትን ብምድላው,,gide
1211,Textile, Apparel, and Furnishings Workers,ዓለባን ኣልባሳትን ኣቕሑን ዝሰርሑ,,gide
1212,Therapists,ክኢላታት ሕክምና ተራፖስት,,gide
1213,Tile Setters,ጋጣጣሚ ማተነላ,,gide
1214,Timekeeping Clerks,ናይ ግዜ ኣገልጋሊ,,gide
1215,Tire Builders,ኮሚስታ ወይ ሰራሕቲ ጎማ መኪና,,gide
1216,Tire Repairers and Changers,ንጸገንቲን ንለውጢታትን ጎማ,,gide
1217,Tobacco Processing Workers,መስርሕ ትንባኾ ሰራሕተኛታት,,gide
1218,Tool and Die Makers,ንዋት መካበብያ,,gide
1219,Tool Grinders, Filers, and Sharpeners,ንመጥሓንትን ንፊላዛትን ንሸራዶን ንዋት,,gide
1220,Top Executives,ላዕለዎት ሓለፍቲ ስራሕ,,gide
1221,Tour Guides and Escorts,ናይ ቱሪዝም ኣዛወርቲ,,gide
1222,Traffic Technicians,ቴክኒካት ትራፊክ,,gide
1223,Training and Development Specialists,ናይ ስልጠናን ምዕባለን ክኢላታት,,gide
1224,Training Managers,ኣካየድቲ ስልጠና,,gide
1225,Translators,ተርጐምቲ,,gide
1226,Transportation and Material-Moving Machine and Vehicle Operators,መጓዓዝያን ነገራት ተጉዓዕዝ ማሽንን ተንቀሳቓሲት ተሽከርካሪትን ኦፐሬቶር,,gide
1227,Transportation Attendants,ናይ መጐዓዝያ ተዓዘብቲ,,gide
1228,Transportation Inspectors,ተቖጻጸርቲ መጓዓዝያ,,gide
1229,Transportation Security Screeners,መርኣዪ መጕዓዝያ,,gide
1230,Transportation Workers,ሰራሕተኛታት መጐዓዝያ,,gide
1231,Transportation, Storage, and Distribution Managers,ኣካየድቲ ምጉዓዝን ምኽዛንን ምዝርጋሕን ,,gide
1232,Travel Agents,ወኪል ጉዕዞ,,gide
1233,Travel Clerks,ጸሓፊ ጉዕዞታት,,gide
1234,Travel Guides,ናይ ጉዕዞ ኣለይቲ,,gide
1235,Truck Drivers - Delivery and Sales Workers,ሰራሕተኛ ናይ ዓበይቲ መካይን ኣውቲስታ፣ ናይ ምብጻሕን ምሻጥን ,,gide
1236,Truck Drivers - Heavy and Tractor-trailer,ናይ ዓባይቲ መካይን ኣውቲስታን ከበድትን ትራክተራትን,,gide
1237,Ultrasound Technician,ቴክኒሻን ኣልትራሳውንድ,,gide
1238,Umpires, Referees, and Other Sports Officials,ጠበቓታትን ደያኑን ናይ ስፖርታዊ ንጥፈታት,,gide
1239,Upholsterers,ኣማላኻዕቲ፣ጸገንቲ፣ሸፈንቲ,,gide
1240,Urban and Regional Planners,ሓንጸጽቲ ከተማን ኣከባቢያውን,,gide
1241,Ushers, Lobby Attendants, and Ticket Takers,ተቀበልቲ ኣጋይሽን ኣሳሰይቲን ኣብ ውራይ,,gide
1242,Vascular Technologists,ተሓጋጋዚ ፊዚሻን,,gide
1243,Vending, Coin, and Amusement Machine Servicers and Repairers,ለኣኽትን ሸየጥትን ጸገንትን ማሽናት,,gide
1244,Veterinarians,ተኸናኸንቲ ጥዕና እንስታታት ወይ ሓካይም እንስሳታት,,gide
1245,Veterinary Assistants,ተሓጋጋዚ ሓኪም እንስሳ,,gide
1246,Veterinary Technologists and Technicians,ተሓጋጋዚን ተክኒሻንን ሓኪም እንስሳታት,,gide
1247,Video Editors,ኣሰናዳእቲ ቪድዮ,,gide
1248,Vocational Nurses,ተሓጋገዝቲ ዶክተር ልቸንሳ ዘለዎ,,gide
1249,Waiters and Waitresses,ኣሳሰይቲ,,gide
1250,Watch Repairers,ኣዓረይቲ ሰዓት,,gide
1251,Water and Wastewater Treatment Plant and System Operators,ማይን ረሳሕ ማይን ምጽራይን መስርሕን ኦፐሬቶር,,gide
1252,Water Transportation Occupations,መጓዓዝያ ማይ,,gide
1253,Web Developers,ሰራሕቲ ወብሳይት,,gide
1254,Weighers, Measurers, Checkers, and Samplers, Recordkeeping,ክብደት መዘንትን ኣረጋገጽትን መዝገብትን,,gide
1255,Welders and Cutters,ኣልሓምትን ቆረጽትን ን ሓጺናዊ ስራሓት,,gide
1256,Wellhead Pumpers,ኣወሃሃድቲ ማይ ክዖ ኣብ ኩዕታ ዘይቲ ወይ ጋዝ,,gide
1257,Wholesale Sales Representatives,ወኪል ናይ ሸየጣ,,gide
1258,Wildlife Biologists,ስነ-ህይወት እንስሳ ዘገዳም,,gide
1259,Wind Turbine Technicians,ናይ ንፋስ ተርባይናት ቴክኒሻናት,,gide
1260,Woodworkers,ጸራቢ ዕንጨይቲ,,gide
1261,Word Processors and Typists,ጸሓፍቲ ኣብ መጽሓፊ ኮምፑተር ከም ዎርድ,,gide
1262,Writers,ጸሓፍቲ,,gide
1263,car rent,zkare makina ,,gide
1264,bicycle rent,zkare bshigleta ,,gide
1265,house to rend,zkare geza ,,gide
1266,rent,zkare ,,gide
1267,better than me,ካባይ ይሓይሽ,,gide
1268,what was that,እንታይ ኔሩ,,gide
1269,what was that,እንታይ ኢዩ ኔሩ,,gide
1270,what is that,እንታይ ኢዩ,,gide
1271,there is no,የለን,,gide
